"Year","Product (code)","Product","Value","Flag"
"2001","1035","Pig meat","9653.0",""
"2001","1017","Goat meat","12037.0",""
"2002","867","Cattle meat","18288.0",""
"2001","977","Sheep meat","12780.0",""
"2002","1017","Goat meat","12597.0",""
"2002","1058","Chicken meat","19401.0",""
"2002","977","Sheep meat","13149.0",""
"2002","1035","Pig meat","10416.0",""
"2003","1058","Chicken meat","21116.0",""
"2003","867","Cattle meat","18486.0",""
"2003","1035","Pig meat","10181.0",""
"2003","1017","Goat meat","13884.0",""
"2004","867","Cattle meat","18686.0",""
"2003","977","Sheep meat","13568.0",""
"2004","1017","Goat meat","15308.0",""
"2004","1058","Chicken meat","22982.0",""
"2004","1035","Pig meat","9979.0",""
"2004","977","Sheep meat","14004.0",""
"2005","867","Cattle meat","18879.0",""
"2005","1058","Chicken meat","22141.0",""
"2005","1017","Goat meat","15535.0",""
"2005","1035","Pig meat","9744.0",""
"2005","977","Sheep meat","14450.0",""
"2006","867","Cattle meat","19140.0",""
"2006","1058","Chicken meat","26543.0",""
"2006","1017","Goat meat","15828.0",""
"2006","1035","Pig meat","16027.0",""
"2006","977","Sheep meat","14913.0",""
"2007","867","Cattle meat","19346.0",""
"2007","1058","Chicken meat","28890.0",""
"2007","1017","Goat meat","16616.0",""
"2007","1035","Pig meat","16498.0",""
"2008","1017","Goat meat","17444.0",""
"2008","1058","Chicken meat","31056.0",""
"2008","867","Cattle meat","19553.0",""
"2007","977","Sheep meat","15390.0",""
"2009","1058","Chicken meat","33790.0",""
"2009","867","Cattle meat","19773.0",""
"2008","977","Sheep meat","15881.0",""
"2008","1035","Pig meat","17002.0",""
"2010","867","Cattle meat","19993.0",""
"2009","977","Sheep meat","16389.0",""
"2009","1035","Pig meat","17506.0",""
"2009","1017","Goat meat","18315.0",""
"2010","977","Sheep meat","16916.0",""
"2010","1035","Pig meat","18010.0",""
"2010","1017","Goat meat","19226.0",""
"2010","1058","Chicken meat","37247.0",""
"2011","1017","Goat meat","20341.0",""
"2011","1035","Pig meat","19072.0",""
"2011","867","Cattle meat","20592.0",""
"2011","1058","Chicken meat","41008.0",""
"2011","977","Sheep meat","17491.0",""
"2000","867","Cattle meat","18570.0",""
"2000","1017","Goat meat","11552.0",""
"2000","1058","Chicken meat","13807.0",""
"2000","977","Sheep meat","12298.0",""
"2000","1035","Pig meat","10056.0",""
"2001","1058","Chicken meat","14580.0",""
"2001","867","Cattle meat","19053.0",""
