"Year","Item (code)","Item","Value","Flag"
"2007","1640","Plywood","160000.0",""
"2007","1634","Veneer Sheets","235000.0",""
"2007","1633","Sawnwood (NC)","520000.0",""
"2007","1604","Sawlogs and Veneer Logs (NC)","1325000.0",""
"2006","1640","Plywood","115000.0",""
"2006","1634","Veneer Sheets","212000.0",""
"2006","1633","Sawnwood (NC)","527000.0",""
"2006","1604","Sawlogs and Veneer Logs (NC)","1304000.0",""
"2009","1640","Plywood","178000.0",""
"2009","1634","Veneer Sheets","273000.0",""
"2009","1633","Sawnwood (NC)","522000.0",""
"2009","1604","Sawlogs and Veneer Logs (NC)","1300000.0",""
"2008","1640","Plywood","200000.0",""
"2008","1634","Veneer Sheets","245000.0",""
"2008","1633","Sawnwood (NC)","513000.0",""
"2008","1604","Sawlogs and Veneer Logs (NC)","1392000.0",""
"2005","1634","Veneer Sheets","300000.0",""
"2005","1640","Plywood","120000.0",""
"2005","1604","Sawlogs and Veneer Logs (NC)","1200000.0",""
"2005","1633","Sawnwood (NC)","460000.0",""
"2010","1604","Sawlogs and Veneer Logs (NC)","1250000.0",""
"2010","1633","Sawnwood (NC)","523000.0",""
"2010","1634","Veneer Sheets","267000.0",""
"2010","1640","Plywood","148000.0",""
"2011","1604","Sawlogs and Veneer Logs (NC)","1289000.0",""
"2011","1633","Sawnwood (NC)","505000.0",""
"2011","1634","Veneer Sheets","271000.0",""
"2011","1640","Plywood","158000.0",""
"2012","1604","Sawlogs and Veneer Logs (NC)","1282000.0",""
"2012","1633","Sawnwood (NC)","505000.0",""
"2012","1634","Veneer Sheets","272000.0",""
"2012","1640","Plywood","157000.0",""
