"YEAR","COMMODITY (code)","COMMODITY","Value","Flag"
"2009","635","Straw Husks","3.47",""
"2009","634","Bever. Dist.Alc","3359.06",""
"2009","633","Beverage Non-Alc","19205.48",""
"2009","631","Waters,Ice Etc","992.62",""
"2009","626","Homogen. Cooked Fruit Prp","12.19",""
"2009","625","Fruit,Nut,Peel, Sugar Prs","8.38",""
"2009","624","Flour of Fruits","33.43",""
"2009","623","Fruit Prp Nes","486.03",""
"2009","687","Pepper (Piper spp.)","35.67",""
"2009","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","1.96",""
"2009","692","Vanilla","10.24",""
"2009","693","Cinnamon (canella)","0.84",""
"2009","698","Cloves","25.26",""
"2009","702","Nutmeg, mace and cardamoms","175.76",""
"2009","711","Anise, badian, fennel, coriander, cumin, caraway seeds and juniper berries","15.27",""
"2009","720","Ginger","3.75",""
"2009","663","Cocoahusks","",".."
"2009","664","Cocoa Butter","51.32",""
"2009","665","Cocoapowder&Cake","283.53",""
"2009","666","Chocolate Prsnes","3181.42",""
"2009","667","Tea","3689.68",""
"2009","671","Maté","0.12",""
"2009","672","Extracts Tea, Mate, Prep","2.75",""
"2009","677","Hops","1020.29",""
"2009","868","Offals of Cattle, Edible","4598.36",""
"2009","867","Cattle meat","1080.64",""
"2009","870","Meat-CattleBoneless(Beef&Veal)","5169.46",""
"2009","869","Fat of Cattle","",".."
"2009","873","Meat Extracts","12.57",""
"2009","872","Meat of Beef,Drd, Sltd,Smkd","30.98",""
"2009","875","Preparations of Beef Meat","2097.21",""
"2009","874","Sausage Beef&Veal","2117.54",""
"2009","754","Pyrethrum,Dried","158.23",""
"2009","723","Spices, nes","1057.2",""
"2009","828","Cigarettes","7617.3",""
"2009","826","Tobacco leaves","4.61",""
"2009","831","Tobacco Products Nes","0.07",""
"2009","829","Cigars Cheroots","9.21",""
"2009","862","Alfalfa Meal and Pellets","",".."
"2009","843","Pet Food","8300.88",""
"2009","901","Cheese of Whole Cow Milk","1079.49",""
"2009","907","Processed Cheese","265.53",""
"2009","898","Milk Skimmed Dry","18492.25",""
"2009","900","Whey Dry","2703.7",""
"2009","947","Buffalo meat","29.89",""
"2009","977","Sheep meat","5377.21",""
"2009","909","Prod.of Nat.Milk Constit","1.6",""
"2009","910","Ice Cream and Edible Ice","269.7",""
"2009","886","Butter Cow Milk","1.0",""
"2009","888","Milk Skm of Cows","194.01",""
"2009","877","Homogen.Meat Prp.","23.39",""
"2009","878","Liver Prep.","13.05",""
"2009","894","Milk Whole Evp","2026.04",""
"2009","897","Milk Whole Dried","3213.9",""
"2009","891","Yoghurt","260.97",""
"2009","893","Butterm.,Curdl,Acid.Milk","4718.04",""
"2009","1061","Meat of Chicken Canned","18.92",""
"2009","1059","Offals Liver Chicken","66222.47",""
"2009","1058","Chicken meat","5845.44",""
"2009","1042","Prep of Pig Meat","182.87",""
"2009","1066","Fat of Ptry Rend","",".."
"2009","1064","Eggs Dried","0.16",""
"2009","1063","Eggs Liquid","0.36",""
"2009","1062","Hen eggs, with shell","139.55",""
"2009","1018","Offals of Goats, Edible","10.51",""
"2009","1017","Goat meat","",".."
"2009","994","Grease incl. Lanolin Wool","",".."
"2009","978","Offals of Sheep,Edible","263.47",""
"2009","1039","Bacon and Ham","989.29",""
"2009","1037","Fat of Pigs","39.87",""
"2009","1036","Offals of Pigs, Edible","1937.11",""
"2009","1035","Pig meat","394.35",""
"2009","1166","Meat nes","230.77",""
"2009","1164","Meat Dried Nes","",".."
"2009","1172","Prepared Meat Nes","193.31",""
"2009","1168","Oils,Fats of Animal Nes","2.65",""
"2009","1097","Horse meat","",".."
"2009","1080","Turkey meat","",".."
"2009","1141","Rabbit meat","22.63",""
"2009","1100","Hair of Horses","",".."
"2009","1232","Food Prep Nes","25885.74",""
"2009","1222","Degras","0.77",""
"2009","1243","Fat Prep Nes","514.91",""
"2009","1242","Margrine Short","9468.7",""
"2009","1182","Honey, natural","53.56",""
"2009","1173","Meal Meat","72.47",""
"2009","1221","Lard Stearine Oil","0.22",""
"2009","1183","Beeswax","34.98",""
"2010","15","Wheat","117306.28",""
"2010","16","Flour of Wheat","13607.43",""
"2010","17","Bran of Wheat","","."
"2010","18","Macaroni","5968.11",""
"2009","1274","Oil Boiled Etc","8.29",""
"2009","1275","Oil Hydrogenated","0.59",""
"2009","1293","Crude Materials","9901.79",""
"2009","1296","Waxes Vegetable","32.93",""
"2010","29","Milled/Husked Rice","63694.96",""
"2010","32","Rice Broken","137805.95",""
"2010","35","Bran of Rice","54.5",""
"2010","38","Rice Flour","","."
"2010","20","Bread","25.35",""
"2010","22","Pastry","497.46",""
"2010","27","Rice, paddy","22.42",""
"2010","28","Rice Husked","4.2",""
"2010","56","Maize","662.75",""
"2010","51","Beer of Barley","2692.81",""
"2010","50","Malt Extract","22389.37",""
"2010","49","Malt","10426.9",""
"2010","48","Barley Flour and Grits","12.13",""
"2010","46","Barley Pearled","","."
"2010","44","Barley","351.38",""
"2010","41","Breakfast Cereals","1670.79",""
"2010","76","Oats Rolled","1205.35",""
"2010","75","Oats","374.91",""
"2010","72","Flour of Rye","0.54",""
"2010","71","Rye","","."
"2010","60","Maize oil","8.69",""
"2010","59","Bran of Maize","","."
"2010","58","Flour of Maize","181.02",""
"2010","57","Germ of Maize","14.47",""
"2010","109","Infant Food","4877.41",""
"2010","111","Flour of Cereals","61.09",""
"2010","105","Bran of Mixed Grains","0.08",""
"2010","108","Cereals, nes","50.6",""
"2010","89","Buckwheat","","."
"2010","101","Canary seed","","."
"2010","79","Millet","13.6",""
"2010","83","Sorghum","0.4",""
"2010","127","Tapioca of Cassava","27.91",""
"2010","128","Cassava Dried","","."
"2010","118","Frozen Potatoes","707.55",""
"2010","122","Sweet potatoes","0.62",""
"2010","116","Potatoes","487.04",""
"2010","117","Potatoes Flour","12.55",""
"2010","113","Cereal Preparations, Nes","327.82",""
"2010","114","Mixes and Doughs","265.5",""
"2010","150","Flour of Roots and Tubers","4.93",""
"2010","129","Cassava Starch","425.05",""
"2010","156","Sugar cane","7.89",""
"2010","151","Roots and Tubers Dried","0.47",""
"2010","160","Maple Sugar and Syrups","17.44",""
"2010","157","Sugar beet","","."
"2010","164","Sugar Refined","183916.92",""
"2010","162","Sugar Raw Centrifugal","60.48",""
"2010","166","Other Fructose and Syrup","198.71",""
"2010","165","Molasses","8.14",""
"2010","168","Sugar Confectionery","11572.0",""
"2010","167","Sugar, nes","304.53",""
"2010","176","Beans, dry","1010.52",""
"2010","172","Glucose and Dextrose","655.83",""
"2010","187","Peas, dry","6.08",""
"2010","181","Broad beans and horse beans, dry","","."
"2010","191","Chick peas","10.51",""
"2010","201","Lentils","38.1",""
"2010","211","Pulses, nes","2.46",""
"2010","212","Flour of Pulses","0.71",""
"2010","213","Bran of Pulses","","."
"2010","220","Chestnuts","0.15",""
"2010","221","Almonds, with shell","4.78",""
"2010","222","Walnuts, with shell","0.11",""
"2010","223","Pistachios","1.87",""
"2010","225","Hazelnuts, with shell","","."
"2010","231","Almonds Shelled","8.0",""
"2010","232","Walnuts Shelled","0.38",""
"2010","233","Hazelnuts Shelled","0.17",""
"2010","234","Nuts, nes","13.25",""
"2010","235","Prepared Nuts (Exc.Groundnuts)","20.34",""
"2010","236","Soybeans","22.71",""
"2010","240","Soya Paste","81.98",""
"2010","239","Soya Sauce","335.38",""
"2010","238","Cake of Soybeans","164.55",""
"2010","237","Soybean oil","3480.01",""
"2010","245","Cake of Groundnuts","","."
"2010","244","Groundnut oil","3.98",""
"2010","243","Groundnuts Shelled","14.67",""
"2010","242","Groundnuts, with shell","35.35",""
"2010","253","Cake of Copra","1.36",""
"2010","252","Coconut (copra) oil","1.12",""
"2010","251","Copra","","."
"2010","246","Prepared Groundnuts","44.41",""
"2010","261","Olive oil, virgin","1018.07",""
"2010","258","Palm kernel oil","1271.94",""
"2010","257","Palm oil","47100.55",""
"2010","256","Palm kernels","","."
"2010","266","Oil of Castor Beans","271.68",""
"2010","267","Sunflower seed","95.52",""
"2010","262","Olives Preserved","95.97",""
"2010","265","Castor oil seed","","."
"2010","271","Rapeseed oil","","."
"2010","274","Oil of Olive Residues","2.91",""
"2010","268","Sunflower oil","28.85",""
"2010","269","Sunflower Cake","0.65",""
"2010","280","Safflower seed","","."
"2010","281","Safflower oil","362.89",""
"2010","276","Oil of Tung Nuts","","."
"2010","278","Oil of Jojoba","","."
"2010","292","Mustard seed","0.82",""
"2010","295","Flour of Mustard","41.16",""
"2010","289","Sesame seed","13.49",""
"2010","290","Sesame oil","3.31",""
"2008","671","Maté","0.72",""
"2008","667","Tea","3874.04",""
"2008","666","Chocolate Prsnes","3676.63",""
"2008","665","Cocoapowder&Cake","600.63",""
"2008","664","Cocoa Butter","146.05",""
"2008","663","Cocoahusks","",".."
"2008","662","Cocoa Paste","0.96",""
"2008","661","Cocoa beans","",".."
"2008","659","Coffee Extracts","1.59",""
"2008","657","Coffee Roasted","28.8",""
"2008","656","Coffee, green","40.96",""
"2008","653","Food Wastes","3.31",""
"2008","652","Veg Prod for Feed","",".."
"2008","651","forage Products","",".."
"2008","635","Straw Husks","",".."
"2008","634","Bever. Dist.Alc","4739.14",""
"2008","631","Waters,Ice Etc","814.55",""
"2008","633","Beverage Non-Alc","21099.62",""
"2008","625","Fruit,Nut,Peel, Sugar Prs","7.62",""
"2008","626","Homogen. Cooked Fruit Prp","5.12",""
"2008","623","Fruit Prp Nes","500.89",""
"2008","624","Flour of Fruits","31.9",""
"2008","620","Fruit Dried Nes","8.8",""
"2008","622","Fruit Juice Nes","4530.46",""
"2008","604","Fruit Tropical Dried Nes","0.21",""
"2008","619","Fruit Fresh Nes","5.55",""
"2008","577","Dates","8.56",""
"2008","580","Pineapple Juice Conc","",".."
"2008","574","Pineapples","",".."
"2008","575","Pineapples Cand","3.72",""
"2008","569","Figs","",".."
"2008","572","Avocados","",".."
"2008","888","Milk Skm of Cows","401.76",""
"2008","886","Butter Cow Milk","",".."
"2008","893","Butterm.,Curdl,Acid.Milk","13819.42",""
"2008","891","Yoghurt","374.63",""
"2008","875","Preparations of Beef Meat","3654.55",""
"2008","874","Sausage Beef&Veal","2849.57",""
"2008","878","Liver Prep.","12.21",""
"2008","877","Homogen.Meat Prp.","11.53",""
"2008","870","Meat-CattleBoneless(Beef&Veal)","14852.41",""
"2008","869","Fat of Cattle","2.64",""
"2008","873","Meat Extracts","1.56",""
"2008","872","Meat of Beef,Drd, Sltd,Smkd","309.36",""
"2008","862","Alfalfa Meal and Pellets","",".."
"2008","843","Pet Food","8726.94",""
"2008","868","Offals of Cattle, Edible","6291.74",""
"2008","867","Cattle meat","970.06",""
"2008","826","Tobacco leaves","",".."
"2008","828","Cigarettes","8258.58",""
"2008","829","Cigars Cheroots","9.64",""
"2008","831","Tobacco Products Nes","1.59",""
"2008","711","Anise, badian, fennel, coriander, cumin, caraway seeds and juniper berries","8.84",""
"2008","720","Ginger","8.42",""
"2008","723","Spices, nes","1185.25",""
"2008","754","Pyrethrum,Dried","157.66",""
"2008","692","Vanilla","14.86",""
"2008","693","Cinnamon (canella)","2.8",""
"2008","698","Cloves","37.87",""
"2008","702","Nutmeg, mace and cardamoms","250.88",""
"2008","672","Extracts Tea, Mate, Prep","12.38",""
"2008","677","Hops","796.36",""
"2008","687","Pepper (Piper spp.)","78.98",""
"2008","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","5.55",""
"2008","1097","Horse meat","",".."
"2008","1080","Turkey meat","",".."
"2008","1066","Fat of Ptry Rend","",".."
"2008","1064","Eggs Dried","0.54",""
"2008","1166","Meat nes","0.34",""
"2008","1164","Meat Dried Nes","",".."
"2008","1141","Rabbit meat","",".."
"2008","1100","Hair of Horses","",".."
"2008","1058","Chicken meat","4281.42",""
"2008","1042","Prep of Pig Meat","176.11",""
"2008","1039","Bacon and Ham","1539.08",""
"2008","1037","Fat of Pigs","139.47",""
"2008","1063","Eggs Liquid","0.98",""
"2008","1062","Hen eggs, with shell","262.86",""
"2008","1061","Meat of Chicken Canned","23.18",""
"2008","1059","Offals Liver Chicken","76318.7",""
"2008","978","Offals of Sheep,Edible","16.79",""
"2008","994","Grease incl. Lanolin Wool","",".."
"2008","947","Buffalo meat","",".."
"2008","977","Sheep meat","6265.3",""
"2008","1035","Pig meat","614.67",""
"2008","1036","Offals of Pigs, Edible","4693.81",""
"2008","1017","Goat meat","1.48",""
"2008","1018","Offals of Goats, Edible","29.34",""
"2008","898","Milk Skimmed Dry","52148.7",""
"2008","900","Whey Dry","6711.26",""
"2008","894","Milk Whole Evp","8972.8",""
"2008","897","Milk Whole Dried","12389.39",""
"2008","909","Prod.of Nat.Milk Constit","7.08",""
"2008","910","Ice Cream and Edible Ice","787.43",""
"2008","901","Cheese of Whole Cow Milk","1482.17",""
"2008","907","Processed Cheese","290.01",""
"2009","38","Rice Flour","10.41",""
"2009","35","Bran of Rice","56.79",""
"2009","44","Barley","105.67",""
"2009","41","Breakfast Cereals","1345.6",""
"2009","48","Barley Flour and Grits","2.78",""
"2009","46","Barley Pearled","",".."
"2009","50","Malt Extract","12618.3",""
"2009","49","Malt","19208.99",""
"2009","18","Macaroni","3875.65",""
"2009","17","Bran of Wheat","0.4",""
"2009","22","Pastry","779.83",""
"2009","20","Bread","83.5",""
"2009","28","Rice Husked","2.67",""
"2009","27","Rice, paddy","106.2",""
"2009","32","Rice Broken","156255.38",""
"2009","29","Milled/Husked Rice","66893.57",""
"2008","1242","Margrine Short","7333.03",""
"2008","1243","Fat Prep Nes","62.18",""
"2008","1274","Oil Boiled Etc","4.15",""
"2008","1275","Oil Hydrogenated","21.49",""
"2008","1293","Crude Materials","16249.43",""
"2008","1296","Waxes Vegetable","24.27",""
"2009","15","Wheat","124532.96",""
"2009","16","Flour of Wheat","15699.89",""
"2008","1168","Oils,Fats of Animal Nes","0.22",""
"2008","1172","Prepared Meat Nes","50.8",""
"2008","1173","Meal Meat","600.42",""
"2008","1182","Honey, natural","45.8",""
"2008","1183","Beeswax","58.08",""
"2008","1221","Lard Stearine Oil","",".."
"2008","1222","Degras","",".."
"2008","1232","Food Prep Nes","15404.84",""
"2009","118","Frozen Potatoes","651.13",""
"2009","122","Sweet potatoes","",".."
"2009","116","Potatoes","345.18",""
"2009","117","Potatoes Flour","125.08",""
"2009","113","Cereal Preparations, Nes","91.24",""
"2009","114","Mixes and Doughs","105.09",""
"2009","109","Infant Food","4727.13",""
"2009","111","Flour of Cereals","33.21",""
"2009","157","Sugar beet","",".."
"2009","160","Maple Sugar and Syrups","6.42",""
"2009","151","Roots and Tubers Dried","0.14",""
"2009","156","Sugar cane","23.08",""
"2009","129","Cassava Starch","153.27",""
"2009","150","Flour of Roots and Tubers","15.9",""
"2009","127","Tapioca of Cassava","60.65",""
"2009","128","Cassava Dried","",".."
"2009","72","Flour of Rye","1.94",""
"2009","71","Rye","",".."
"2009","60","Maize oil","18.87",""
"2009","59","Bran of Maize","",".."
"2009","58","Flour of Maize","571.1",""
"2009","57","Germ of Maize","51.97",""
"2009","56","Maize","8260.72",""
"2009","51","Beer of Barley","3122.28",""
"2009","108","Cereals, nes","44.64",""
"2009","105","Bran of Mixed Grains","",".."
"2009","101","Canary seed","0.85",""
"2009","89","Buckwheat","0.17",""
"2009","83","Sorghum","0.22",""
"2009","79","Millet","382.55",""
"2009","76","Oats Rolled","870.86",""
"2009","75","Oats","284.18",""
"2009","231","Almonds Shelled","5.55",""
"2009","232","Walnuts Shelled","1.75",""
"2009","233","Hazelnuts Shelled","0.61",""
"2009","234","Nuts, nes","6.08",""
"2009","221","Almonds, with shell","0.74",""
"2009","222","Walnuts, with shell","0.08",""
"2009","223","Pistachios","2.85",""
"2009","225","Hazelnuts, with shell","",".."
"2009","239","Soya Sauce","227.03",""
"2009","240","Soya Paste","78.5",""
"2009","242","Groundnuts, with shell","",".."
"2009","243","Groundnuts Shelled","1.69",""
"2009","235","Prepared Nuts (Exc.Groundnuts)","20.16",""
"2009","236","Soybeans","33.39",""
"2009","237","Soybean oil","2173.81",""
"2009","238","Cake of Soybeans","2077.56",""
"2009","168","Sugar Confectionery","8203.58",""
"2009","167","Sugar, nes","338.81",""
"2009","176","Beans, dry","394.25",""
"2009","172","Glucose and Dextrose","686.63",""
"2009","164","Sugar Refined","115278.18",""
"2009","162","Sugar Raw Centrifugal","305.7",""
"2009","166","Other Fructose and Syrup","0.22",""
"2009","165","Molasses","1.54",""
"2009","212","Flour of Pulses","4.44",""
"2009","211","Pulses, nes","5.94",""
"2009","220","Chestnuts","7.44",""
"2009","213","Bran of Pulses","",".."
"2009","187","Peas, dry","5.9",""
"2009","181","Broad beans and horse beans, dry","",".."
"2009","201","Lentils","20.26",""
"2009","191","Chick peas","7.14",""
"2009","276","Oil of Tung Nuts","",".."
"2009","278","Oil of Jojoba","",".."
"2009","271","Rapeseed oil","",".."
"2009","274","Oil of Olive Residues","1.34",""
"2009","289","Sesame seed","4.28",""
"2009","290","Sesame oil","3.63",""
"2009","280","Safflower seed","0.15",""
"2009","281","Safflower oil","102.85",""
"2009","296","Poppy seed","0.61",""
"2009","329","Cottonseed","0.56",""
"2009","292","Mustard seed","1.49",""
"2009","295","Flour of Mustard","38.97",""
"2009","333","Linseed","0.73",""
"2009","334","Linseed oil","1.51",""
"2009","331","Cottonseed oil","1.27",""
"2009","332","Cake of Cottonseed","214.09",""
"2009","251","Copra","",".."
"2009","246","Prepared Groundnuts","27.07",""
"2009","245","Cake of Groundnuts","",".."
"2009","244","Groundnut oil","324.16",""
"2009","257","Palm oil","34632.34",""
"2009","256","Palm kernels","",".."
"2009","253","Cake of Copra","13.35",""
"2009","252","Coconut (copra) oil","3.68",""
"2009","265","Castor oil seed","",".."
"2009","262","Olives Preserved","62.04",""
"2009","261","Olive oil, virgin","801.89",""
"2009","258","Palm kernel oil","996.89",""
"2009","269","Sunflower Cake","2.7",""
"2009","268","Sunflower oil","1.1",""
"2009","267","Sunflower seed","3.95",""
"2009","266","Oil of Castor Beans","225.4",""
"2009","399","Eggplants (aubergines)","0.13",""
"2009","401","Chillies and peppers, green (Capsicum spp.)","",".."
"2009","402","Onions (incl. shallots), green","8492.39",""
"2009","406","Garlic","805.82",""
"2009","407","Leeks and other alliaceous vegetables","",".."
"2009","414","Beans, green","10.08",""
"2009","417","Peas, green","5.01",""
"2009","420","Leguminous vegetables, nes","2.97",""
"2009","426","Carrots and turnips","20.2",""
"2009","447","Sweet Corn Frozen","11.2",""
"2009","448","Sweet Corn Prep or Preserved","23.13",""
"2009","449","Mushrooms and truffles","1.9",""
"2009","450","Dried Mushrooms","",".."
"2009","451","Canned Mushrooms","70.3",""
"2009","460","Veg.Prod.Fresh Or Dried","1.35",""
"2009","461","Carobs","",".."
"2009","339","Oilseeds, Nes","70.92",""
"2009","335","Cake of Linseed","",".."
"2009","341","Cake of Oilseeds, Nes","0.52",""
"2009","340","Oil of vegetable origin, nes","20240.17",""
"2009","358","Cabbages and other brassicas","2.16",""
"2009","343","Flour of Oilseeds","605.93",""
"2009","367","Asparagus","9.16",""
"2009","366","Artichokes","",".."
"2009","373","Spinach","3.02",""
"2009","372","Lettuce and chicory","3.91",""
"2009","390","Juice of Tomatoes","12.43",""
"2009","388","Tomatoes","2490.92",""
"2009","392","Tomato Peeled","47.81",""
"2009","391","Paste of Tomatoes","37951.37",""
"2009","397","Cucumbers and gherkins","",".."
"2009","393","Cauliflowers and broccoli","19.2",""
"2011","333","Linseed","4.86",""
"2011","334","Linseed oil","1.24",""
"2011","331","Cottonseed oil","0.21",""
"2011","332","Cake of Cottonseed","152.65",""
"2011","340","Oil of vegetable origin, nes","516.25",""
"2011","341","Cake of Oilseeds, Nes","0.1",""
"2011","335","Cake of Linseed","",".."
"2011","339","Oilseeds, Nes","359.3",""
"2011","289","Sesame seed","60.13",""
"2011","290","Sesame oil","13.99",""
"2011","280","Safflower seed","",".."
"2011","281","Safflower oil","559.98",""
"2011","296","Poppy seed","3.18",""
"2011","329","Cottonseed","730.76",""
"2011","292","Mustard seed","2.02",""
"2011","295","Flour of Mustard","64.88",""
"2011","397","Cucumbers and gherkins","6.01",""
"2011","393","Cauliflowers and broccoli","46.94",""
"2011","392","Tomato Peeled","66.88",""
"2011","391","Paste of Tomatoes","78715.41",""
"2011","406","Garlic","1581.35",""
"2011","402","Onions (incl. shallots), green","13399.61",""
"2011","401","Chillies and peppers, green (Capsicum spp.)","54.06",""
"2011","399","Eggplants (aubergines)","3.7",""
"2011","367","Asparagus","8.6",""
"2011","366","Artichokes","",".."
"2011","358","Cabbages and other brassicas","103.39",""
"2011","343","Flour of Oilseeds","5984.83",""
"2011","390","Juice of Tomatoes","10.43",""
"2011","388","Tomatoes","6165.94",""
"2011","373","Spinach","0.75",""
"2011","372","Lettuce and chicory","88.67",""
"2011","239","Soya Sauce","264.98",""
"2011","240","Soya Paste","120.44",""
"2011","242","Groundnuts, with shell","189.21",""
"2011","243","Groundnuts Shelled","59.72",""
"2011","244","Groundnut oil","4.23",""
"2011","245","Cake of Groundnuts","47.13",""
"2011","246","Prepared Groundnuts","79.58",""
"2011","251","Copra","5.11",""
"2011","231","Almonds Shelled","35.46",""
"2011","232","Walnuts Shelled","2.84",""
"2011","233","Hazelnuts Shelled","1.07",""
"2011","234","Nuts, nes","106.4",""
"2011","235","Prepared Nuts (Exc.Groundnuts)","53.56",""
"2011","236","Soybeans","65.9",""
"2011","237","Soybean oil","4244.61",""
"2011","238","Cake of Soybeans","8809.58",""
"2011","267","Sunflower seed","9.02",""
"2011","266","Oil of Castor Beans","568.06",""
"2011","269","Sunflower Cake","",".."
"2011","268","Sunflower oil","0.07",""
"2011","274","Oil of Olive Residues","41.09",""
"2011","271","Rapeseed oil","",".."
"2011","278","Oil of Jojoba","",".."
"2011","276","Oil of Tung Nuts","",".."
"2011","253","Cake of Copra","",".."
"2011","252","Coconut (copra) oil","12.53",""
"2011","257","Palm oil","82982.85",""
"2011","256","Palm kernels","",".."
"2011","261","Olive oil, virgin","1681.12",""
"2011","258","Palm kernel oil","2028.3",""
"2011","265","Castor oil seed","",".."
"2011","262","Olives Preserved","112.19",""
"2011","563","Must of Grapes","",".."
"2011","564","Wine","8375.32",""
"2011","561","Raisins","42.96",""
"2011","562","Grape Juice","",".."
"2011","558","Berries Nes","22.01",""
"2011","560","Grapes","1051.59",""
"2011","544","Strawberries","32.87",""
"2011","549","Gooseberries","",".."
"2011","536","Plums and sloes","17.01",""
"2011","537","Plums Dried (Prunes)","4.27",""
"2011","531","Cherries","3.26",""
"2011","534","Peaches and nectarines","6.7",""
"2011","526","Apricots","0.8",""
"2011","527","Dry Apricots","10.56",""
"2011","518","Apple juice, single strength","",".."
"2011","521","Pears","75.59",""
"2011","626","Homogen. Cooked Fruit Prp","39.31",""
"2011","625","Fruit,Nut,Peel, Sugar Prs","17.58",""
"2011","624","Flour of Fruits","53.61",""
"2011","623","Fruit Prp Nes","1100.95",""
"2011","622","Fruit Juice Nes","7407.2",""
"2011","620","Fruit Dried Nes","102.21",""
"2011","619","Fruit Fresh Nes","86.8",""
"2011","604","Fruit Tropical Dried Nes","69.79",""
"2011","580","Pineapple Juice Conc","",".."
"2011","577","Dates","85.68",""
"2011","575","Pineapples Cand","5.18",""
"2011","574","Pineapples","",".."
"2011","572","Avocados","",".."
"2011","569","Figs","4.61",""
"2011","567","Watermelons","",".."
"2011","565","Vermouths&Similar","1151.1",""
"2011","463","Vegetables fresh nes","358.46",""
"2011","466","Juice of Vegetables Nes","8184.93",""
"2011","469","Vegetables Dehydrated","61.44",""
"2011","471","Vegetables in Vinegar","25.69",""
"2011","450","Dried Mushrooms","",".."
"2011","451","Canned Mushrooms","144.31",""
"2011","460","Veg.Prod.Fresh Or Dried","",".."
"2011","461","Carobs","",".."
"2011","426","Carrots and turnips","28.47",""
"2011","447","Sweet Corn Frozen","18.51",""
"2011","448","Sweet Corn Prep or Preserved","70.64",""
"2011","449","Mushrooms and truffles","22.78",""
"2011","407","Leeks and other alliaceous vegetables","9.14",""
"2011","414","Beans, green","107.39",""
"2011","417","Peas, green","11.88",""
"2011","420","Leguminous vegetables, nes","7.88",""
"2011","514","Citrus juice, concentrated","",".."
"2011","512","Citrus fruit, nes","10.12",""
"2011","517","Cider Etc","3381.0",""
"2011","515","Apples","6665.24",""
"2011","497","Lemons and limes","",".."
"2011","495","Tangerines, mandarins and clementines","45.14",""
"2011","509","Juice of Grapefruit","",".."
"2011","507","Grapefruit (incl. pomelos)","12.84",""
"2011","486","Bananas","9.74",""
"2011","476","Homogen.Veget.Prep","13.06",""
"2011","492","Oranjuice Concentrated","1588.14",""
"2011","490","Oranges","46.18",""
"2011","473","Vegetable Frozen","305.57",""
"2011","472","Vegetables Preserved Nes","2152.5",""
"2011","475","Veg.Prep. Or Pres.Frozen","28.6",""
"2011","474","Veg.in Tem. Preservatives","149.1",""
"2011","862","Alfalfa Meal and Pellets","",".."
"2011","843","Pet Food","29460.63",""
"2011","831","Tobacco Products Nes","2.77",""
"2011","829","Cigars Cheroots","2.06",""
"2011","870","Meat-CattleBoneless(Beef&Veal)","8426.07",""
"2011","869","Fat of Cattle","0.24",""
"2011","868","Offals of Cattle, Edible","21025.86",""
"2011","867","Cattle meat","551.37",""
"2011","875","Preparations of Beef Meat","3258.24",""
"2011","874","Sausage Beef&Veal","4953.3",""
"2011","873","Meat Extracts","12.48",""
"2011","872","Meat of Beef,Drd, Sltd,Smkd","80.36",""
"2011","888","Milk Skm of Cows","878.39",""
"2011","886","Butter Cow Milk","36.06",""
"2011","878","Liver Prep.","48.54",""
"2011","877","Homogen.Meat Prp.","31.79",""
"2011","894","Milk Whole Evp","4476.44",""
"2011","897","Milk Whole Dried","9979.34",""
"2011","891","Yoghurt","563.15",""
"2011","893","Butterm.,Curdl,Acid.Milk","12779.33",""
"2011","901","Cheese of Whole Cow Milk","1856.92",""
"2011","907","Processed Cheese","690.09",""
"2011","898","Milk Skimmed Dry","47398.87",""
"2011","900","Whey Dry","6022.68",""
"2011","947","Buffalo meat","20.31",""
"2011","977","Sheep meat","8678.28",""
"2011","909","Prod.of Nat.Milk Constit","3.79",""
"2011","910","Ice Cream and Edible Ice","843.88",""
"2011","1017","Goat meat","11.25",""
"2011","1018","Offals of Goats, Edible","114.74",""
"2011","978","Offals of Sheep,Edible","",".."
"2011","994","Grease incl. Lanolin Wool","",".."
"2011","633","Beverage Non-Alc","41267.21",""
"2011","631","Waters,Ice Etc","230.93",""
"2011","635","Straw Husks","13.44",""
"2011","634","Bever. Dist.Alc","5593.16",""
"2011","652","Veg Prod for Feed","",".."
"2011","651","forage Products","",".."
"2011","656","Coffee, green","48.0",""
"2011","653","Food Wastes","0.56",""
"2011","659","Coffee Extracts","3.18",""
"2011","657","Coffee Roasted","77.78",""
"2011","662","Cocoa Paste","",".."
"2011","661","Cocoa beans","0.09",""
"2011","664","Cocoa Butter","1.41",""
"2011","663","Cocoahusks","",".."
"2011","666","Chocolate Prsnes","6104.05",""
"2011","665","Cocoapowder&Cake","3322.23",""
"2011","667","Tea","5666.93",""
"2011","671","Maté","1.64",""
"2011","672","Extracts Tea, Mate, Prep","70.81",""
"2011","677","Hops","39.93",""
"2011","687","Pepper (Piper spp.)","152.22",""
"2011","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","6.56",""
"2011","692","Vanilla","4.21",""
"2011","693","Cinnamon (canella)","20.88",""
"2011","698","Cloves","35.97",""
"2011","702","Nutmeg, mace and cardamoms","225.16",""
"2011","711","Anise, badian, fennel, coriander, cumin, caraway seeds and juniper berries","35.11",""
"2011","720","Ginger","23.45",""
"2011","723","Spices, nes","1655.07",""
"2011","754","Pyrethrum,Dried","422.59",""
