"YEAR","COMMODITY (code)","COMMODITY","Value","Flag"
"2004","870","Meat-CattleBoneless(Beef&Veal)","1539.19",""
"2004","869","Fat of Cattle","0.23",""
"2004","663","Cocoahusks","","."
"2004","664","Cocoa Butter","0.31",""
"2004","661","Cocoa beans","","."
"2004","662","Cocoa Paste","0.23",""
"2004","667","Tea","1824.57",""
"2004","671","Maté","0.85",""
"2004","665","Cocoapowder&Cake","298.34",""
"2004","666","Chocolate Prsnes","1051.86",""
"2004","687","Pepper (Piper spp.)","89.13",""
"2004","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","1.42",""
"2004","672","Extracts Tea, Mate, Prep","","."
"2004","677","Hops","207.16",""
"2004","698","Cloves","15.17",""
"2004","702","Nutmeg, mace and cardamoms","126.34",""
"2004","692","Vanilla","23.65",""
"2004","693","Cinnamon (canella)","4.97",""
"2004","977","Sheep meat","1740.39",""
"2004","947","Buffalo meat","0.12",""
"2004","994","Grease incl. Lanolin Wool","26.65",""
"2004","978","Offals of Sheep,Edible","","."
"2004","1018","Offals of Goats, Edible","5.32",""
"2004","1017","Goat meat","","."
"2004","1036","Offals of Pigs, Edible","2687.19",""
"2004","1035","Pig meat","309.13",""
"2004","1039","Bacon and Ham","1115.52",""
"2004","1037","Fat of Pigs","13.11",""
"2004","1058","Chicken meat","668.87",""
"2004","1042","Prep of Pig Meat","47.48",""
"2004","1061","Meat of Chicken Canned","12.15",""
"2004","1059","Offals Liver Chicken","25024.6",""
"2004","1063","Eggs Liquid","","."
"2004","1062","Hen eggs, with shell","704.35",""
"2004","874","Sausage Beef&Veal","231.96",""
"2004","875","Preparations of Beef Meat","477.6",""
"2004","877","Homogen.Meat Prp.","1.64",""
"2004","878","Liver Prep.","","."
"2004","886","Butter Cow Milk","3.64",""
"2004","888","Milk Skm of Cows","409.61",""
"2004","891","Yoghurt","59.81",""
"2004","893","Butterm.,Curdl,Acid.Milk","3371.74",""
"2004","894","Milk Whole Evp","1522.5",""
"2004","897","Milk Whole Dried","2553.95",""
"2004","898","Milk Skimmed Dry","16233.74",""
"2004","900","Whey Dry","2242.12",""
"2004","901","Cheese of Whole Cow Milk","496.3",""
"2004","907","Processed Cheese","102.64",""
"2004","909","Prod.of Nat.Milk Constit","14.31",""
"2004","910","Ice Cream and Edible Ice","508.68",""
"2004","544","Strawberries","0.54",""
"2004","549","Gooseberries","1.12",""
"2004","536","Plums and sloes","5.16",""
"2004","537","Plums Dried (Prunes)","0.13",""
"2004","531","Cherries","1.0",""
"2004","534","Peaches and nectarines","5.21",""
"2004","526","Apricots","0.73",""
"2004","527","Dry Apricots","0.22",""
"2004","518","Apple juice, single strength","188.19",""
"2004","521","Pears","9.05",""
"2004","515","Apples","1979.29",""
"2004","517","Cider Etc","148.94",""
"2004","512","Citrus fruit, nes","5.9",""
"2004","514","Citrus juice, concentrated","106.16",""
"2004","507","Grapefruit (incl. pomelos)","0.18",""
"2004","509","Juice of Grapefruit","42.61",""
"2004","497","Lemons and limes","","."
"2004","495","Tangerines, mandarins and clementines","0.53",""
"2004","492","Oranjuice Concentrated","339.81",""
"2004","490","Oranges","6.48",""
"2004","486","Bananas","","."
"2004","476","Homogen.Veget.Prep","20.85",""
"2004","475","Veg.Prep. Or Pres.Frozen","14.15",""
"2004","474","Veg.in Tem. Preservatives","11.62",""
"2004","473","Vegetable Frozen","83.57",""
"2004","472","Vegetables Preserved Nes","487.89",""
"2004","471","Vegetables in Vinegar","2.73",""
"2004","469","Vegetables Dehydrated","15.36",""
