"year","commodity (code)","commodity","Value","Flag"
"2008","888","Milk Skm of Cows","30312.424",""
"2009","947","Buffalo meat","0.126",""
"2008","1058","Chicken meat","74478.82",""
"2008","1069","Duck meat","36.546",""
"2008","1038","Pork","9690.961",""
"2008","977","Sheep meat","6381.813",""
"2008","947","Buffalo meat","2.56",""
"2008","872","Meat of Beef,Drd, Sltd,Smkd","16595.551",""
"2012","1038","Pork","3365.81185",""
"2012","977","Sheep meat","3358.81669",""
"2012","947","Buffalo meat","0.136",""
"2012","872","Meat of Beef,Drd, Sltd,Smkd","19525.47704",""
"2011","1069","Duck meat","36.68759",""
"2011","888","Milk Skm of Cows","30471.18307",""
"2011","977","Sheep meat","6517.96866",""
"2011","1058","Chicken meat","155056.16492",""
"2012","888","Milk Skm of Cows","14619.92215",""
"2012","1058","Chicken meat","82016.86891",""
"2012","1069","Duck meat","114.64039",""
"2010","872","Meat of Beef,Drd, Sltd,Smkd","15887.94666",""
"2010","947","Buffalo meat","71.564",""
"2009","888","Milk Skm of Cows","15317.55706",""
"2009","1069","Duck meat","53.65378",""
"2009","1058","Chicken meat","78836.64358",""
"2009","977","Sheep meat","6164.75992",""
"2009","1038","Pork","5339.01136",""
"2009","872","Meat of Beef,Drd, Sltd,Smkd","10363.65215",""
"2011","1038","Pork","8220.34117",""
"2011","872","Meat of Beef,Drd, Sltd,Smkd","23258.16551",""
"2011","947","Buffalo meat","52.38",""
"2010","888","Milk Skm of Cows","20610.84636",""
"2010","1069","Duck meat","51.91263",""
"2010","1058","Chicken meat","109434.67682",""
"2010","977","Sheep meat","5553.90085",""
"2010","1038","Pork","5847.33612",""
