"Year","Item (code)","Item","Value","Flag"
"2005","1633","Sawnwood (NC)","108227785",""
"2005","1626","Other Industrial Roundwood (NC)","83060.0",""
"2005","1640","Plywood","18688424",""
"2005","1634","Veneer Sheets","56949112",""
"2009","1626","Other Industrial Roundwood (NC)","16279407",""
"2009","1633","Sawnwood (NC)","64392195",""
"2009","1634","Veneer Sheets","34529347",""
"2009","1640","Plywood","61867506",""
"2008","1626","Other Industrial Roundwood (NC)","27778781",""
"2008","1633","Sawnwood (NC)","88765672",""
"2008","1634","Veneer Sheets","54946010",""
"2008","1640","Plywood","55390393",""
"2007","1626","Other Industrial Roundwood (NC)","20439392",""
"2007","1633","Sawnwood (NC)","99767821",""
"2007","1634","Veneer Sheets","55472625",""
"2007","1640","Plywood","47365525",""
"2006","1626","Other Industrial Roundwood (NC)","3876115.0",""
"2006","1633","Sawnwood (NC)","94045497",""
"2006","1634","Veneer Sheets","48827754",""
"2006","1640","Plywood","38151796",""
"2012","1640","Plywood","43428906",""
"2012","1634","Veneer Sheets","25583918",""
"2012","1633","Sawnwood (NC)","66994207",""
"2012","1626","Other Industrial Roundwood (NC)","3973400.0",""
"2010","1640","Plywood","60552573",""
"2010","1634","Veneer Sheets","36477819",""
"2010","1633","Sawnwood (NC)","69488123",""
"2010","1626","Other Industrial Roundwood (NC)","9356280.0",""
"2011","1640","Plywood","51257240",""
"2011","1634","Veneer Sheets","30669057",""
"2011","1633","Sawnwood (NC)","59687200",""
"2011","1626","Other Industrial Roundwood (NC)","7363034.0",""
