"Year","ITEM (code)","ITEM","Value","Flag"
"2006","310240","Calcium ammonium nitrate","",".."
"2006","310221","Ammonium sulphate","",".."
"2005","310560","PK compounds","",".."
"2005","310610","NPK complex","",".."
"2005","310250","Sodium nitrate","",".."
"2005","283421","Potassium nitrate ","",".."
"2005","310430","Potassium sulphate","",".."
"2005","310420","Potassium chloride (Muriate of potash)","",".."
"2005","310540","Monoammonium phosphate (MAP)","",".."
"2005","310530","Diammonium phosphate (DAP)","",".."
"2005","31031010","Superphosphate above 35%","",".."
"2005","310280","Urea and ammonium nitrate solutions","",".."
"2005","2510","Phosphate rock","",".."
"2005","31031090","Superphosphate other","",".."
