"Year","Item (code)","Item","Value","Flag"
"2010","2455005","Balers(Straw and fodder balers including pick-up balers)","150.17624",""
"2010","2455006","Root or tuber harvesting machines","0.0",""
"2010","2455007","Threshing machines","95.96104",""
"2010","2455008","Milking machines","16.01621",""
"2010","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","612.82166",""
"2010","2455002","Seeders, planters and transplanters","208.12232",""
"2011","2455010","Pedestrian controlled tractors (single axle tractors)","2164.44992",""
"2011","2455012","Track-laying tractors (Crawlers)","2258.09256",""
"2011","2455013","Other agricultural tractors (two-axles tractors)","28020.71233",""
"2011","2455004","Combine harvesters - threshers","3242.08276",""
"2011","2455005","Balers(Straw and fodder balers including pick-up balers)","39.6036",""
"2011","2455006","Root or tuber harvesting machines","0.0",""
"2011","2455007","Threshing machines","264.18284",""
"2011","2455008","Milking machines","280.21271",""
"2011","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","627.93964",""
"2011","2455002","Seeders, planters and transplanters","344.96033",""
"2012","2455012","Track-laying tractors (Crawlers)","3610.66046",""
"2012","2455010","Pedestrian controlled tractors (single axle tractors)","3330.63044",""
"2012","2455004","Combine harvesters - threshers","728.91919",""
"2012","2455013","Other agricultural tractors (two-axles tractors)","32129.32499",""
"2012","2455006","Root or tuber harvesting machines","0.0",""
"2012","2455005","Balers(Straw and fodder balers including pick-up balers)","121.21208",""
"2012","2455008","Milking machines","1.58754",""
"2012","2455007","Threshing machines","798.01874",""
"2012","2455002","Seeders, planters and transplanters","892.91265",""
"2012","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","2179.57902",""
"2007","2455005","Balers(Straw and fodder balers including pick-up balers)","11.07723",""
"2007","2455006","Root or tuber harvesting machines","0.0",""
"2007","2455013","Other agricultural tractors (two-axles tractors)","9927.014233",""
"2007","2455004","Combine harvesters - threshers","19.99647",""
"2007","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","303.018212",""
"2007","2455002","Seeders, planters and transplanters","57.48334",""
"2007","2455007","Threshing machines","542.27867",""
"2007","2455008","Milking machines","2.21407",""
"2008","2455013","Other agricultural tractors (two-axles tractors)","9624.05656",""
"2008","2455004","Combine harvesters - threshers","218.18775",""
"2008","2455010","Pedestrian controlled tractors (single axle tractors)","2661.03568",""
"2008","2455012","Track-laying tractors (Crawlers)","401.13192",""
"2008","2455007","Threshing machines","263.53754",""
"2008","2455008","Milking machines","0.0",""
"2008","2455005","Balers(Straw and fodder balers including pick-up balers)","81.44904",""
"2008","2455006","Root or tuber harvesting machines","24.26911",""
"2009","2455012","Track-laying tractors (Crawlers)","6636.95414",""
"2009","2455010","Pedestrian controlled tractors (single axle tractors)","0.0",""
"2008","2455002","Seeders, planters and transplanters","48.2287",""
"2008","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","522.84677",""
"2009","2455006","Root or tuber harvesting machines","43.10317",""
"2009","2455005","Balers(Straw and fodder balers including pick-up balers)","5.22312",""
"2009","2455004","Combine harvesters - threshers","11.23023",""
"2009","2455013","Other agricultural tractors (two-axles tractors)","16238.97252",""
"2009","2455002","Seeders, planters and transplanters","253.31388",""
"2009","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","542.86345",""
"2009","2455008","Milking machines","421.33452",""
"2009","2455007","Threshing machines","55.47622",""
"2010","2455004","Combine harvesters - threshers","2316.78301",""
"2010","2455013","Other agricultural tractors (two-axles tractors)","11834.36397",""
"2010","2455012","Track-laying tractors (Crawlers)","2274.79805",""
"2010","2455010","Pedestrian controlled tractors (single axle tractors)","1151.5276",""
"2005","2455013","Other agricultural tractors (two-axles tractors)","4681.8151",""
"2005","2455004","Combine harvesters - threshers","22.21639",""
"2005","2455005","Balers(Straw and fodder balers including pick-up balers)","4.12461",""
"2005","2455006","Root or tuber harvesting machines","1.41484",""
"2005","2455010","Pedestrian controlled tractors (single axle tractors)","1336.86767",""
"2005","2455012","Track-laying tractors (Crawlers)","427.75795",""
"2006","2455012","Track-laying tractors (Crawlers)","152.97111",""
"2006","2455010","Pedestrian controlled tractors (single axle tractors)","1504.1064009",""
"2006","2455004","Combine harvesters - threshers","44.5158843",""
"2006","2455013","Other agricultural tractors (two-axles tractors)","7828.8058175",""
"2005","2455008","Milking machines","94.00351",""
"2005","2455007","Threshing machines","24.35064",""
"2005","2455002","Seeders, planters and transplanters","102.37173",""
"2005","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","151.67506",""
"2006","2455002","Seeders, planters and transplanters","31.8538338",""
"2006","2455001","Ploughs (e.g. reversible ploughs and non-reversible ploughs)","280.3118263",""
"2007","2455012","Track-laying tractors (Crawlers)","152.97111",""
"2007","2455010","Pedestrian controlled tractors (single axle tractors)","3127.3114",""
"2006","2455006","Root or tuber harvesting machines","12.3105785",""
"2006","2455005","Balers(Straw and fodder balers including pick-up balers)","1.0101207",""
"2006","2455008","Milking machines","1.6410192",""
"2006","2455007","Threshing machines","13.174812",""
